Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_1206_3216Metric",175.700000,-102.675000,270.000000,top
"C2","10u","C_1206_3216Metric",175.700000,-107.425000,90.000000,top
"C3","100n","C_0603_1608Metric",185.100000,-107.325000,90.000000,top
"C4","220u","CP_Elec_6.3x7.7",183.270000,-95.760000,180.000000,top
"C5","100n","C_0603_1608Metric",225.925000,-116.000000,180.000000,top
"C6","100n","C_0603_1608Metric",204.200000,-128.725000,90.000000,top
"C7","10u","C_0805_2012Metric",206.000000,-128.650000,90.000000,top
"C8","18p","C_0603_1608Metric",209.275000,-121.100000,180.000000,top
"C9","100n","C_0603_1608Metric",203.100000,-94.625000,90.000000,top
"C10","18p","C_0603_1608Metric",209.225000,-118.500000,0.000000,top
"C11","dnp","C_0603_1608Metric",221.630000,-98.725000,270.000000,top
"C12","dnp","C_0603_1608Metric",226.210000,-97.725000,270.000000,top
"C13","100u","C_1206_3216Metric",209.000000,-127.675000,90.000000,top
"D1","SS34","D_SMA",180.750000,-107.050000,0.000000,top
"D2","MM1Z15","D_SOD-123",176.950000,-97.010000,90.000000,top
"FB1","Ferrite_Bead_Small","R_0805_2012Metric",172.737500,-107.050000,180.000000,top
"J11","Conn_Coaxial","SMA_Molex_73251-2120_EdgeMount_Horizontal",227.838000,-99.500000,0.000000,top
"L1","22u","L_MS1040-220M",193.400000,-100.050000,270.000000,top
"L2","0R","R_0603_1608Metric",223.925000,-99.500000,0.000000,top
"Q1","AO3401A","SOT-23",180.850000,-119.660000,270.000000,top
"Q2","AO3401A","SOT-23",176.800000,-113.550000,0.000000,top
"Q3","AO3401A","SOT-23",213.970000,-121.020000,270.000000,top
"Q4","AO3401A","SOT-23",172.110000,-101.260000,180.000000,top
"Q5","AO3401A","SOT-23",222.700000,-110.850000,0.000000,top
"R1","10k","C_0603_1608Metric",179.830000,-116.385000,270.000000,top
"R2","100","R_0603_1608Metric",181.370000,-116.395000,270.000000,top
"R3","10k","C_0603_1608Metric",225.875000,-117.700000,0.000000,top
"R4","10k","C_0603_1608Metric",185.750000,-101.025000,270.000000,top
"R5","5.1k","R_0603_1608Metric",187.300000,-101.850000,270.000000,top
"R6","240","R_0603_1608Metric",186.275000,-104.150000,180.000000,top
"R7","30k","R_0603_1608Metric",179.350000,-113.330000,270.000000,top
"R8","10k","R_0603_1608Metric",180.900000,-113.340000,90.000000,top
"R9","10k","C_0603_1608Metric",174.050000,-114.825000,90.000000,top
"R10","100","R_0603_1608Metric",176.600000,-110.700000,180.000000,top
"R11","10k","C_0603_1608Metric",213.310000,-117.705000,90.000000,top
"R12","100","R_0603_1608Metric",214.990000,-117.685000,270.000000,top
"R13","10k","C_0603_1608Metric",215.775000,-113.000000,0.000000,top
"R14","dnp","R_0603_1608Metric",204.400000,-119.825000,90.000000,top
"R15","2k2","R_0603_1608Metric",221.200000,-133.235000,90.000000,top
"R16","2k2","R_0603_1608Metric",221.260000,-129.345000,270.000000,top
"R17","10k","C_0603_1608Metric",176.370000,-132.015000,90.000000,top
"R18","100k","R_0603_1608Metric",172.585000,-104.100000,180.000000,top
"R19","100k","R_0603_1608Metric",226.125000,-109.200000,0.000000,top
"SW1","RESET","TS-1187A-C-E-B",221.600000,-117.550000,90.000000,top
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",180.900000,-102.340000,180.000000,top
"U2","ESP32-WROOM-32D","ESP32-WROOM-32",192.850000,-121.000000,180.000000,top
"U4","RFM95W-868S2","HOPERF_RFM9XW_SMD",212.300000,-102.400000,90.000000,top
"Y1","Crystal","Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm",206.450000,-119.850000,270.000000,top
